,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1097EZ,SFH_1964,141.576480532466,110.198909155022,114.761035872997,119.339210057633,123.932937433775,128.543107696701,125.670742971212,131.116007582336,136.589050457104,142.090201112285,147.618174432479,142.007492403214,148.418636568234,154.860656454527,161.33585867948,167.841607108939,159.188958073075,166.6360700088,174.13010513246,181.669119295116,189.253738578631,177.327439295739,185.918205082346,194.571018876595,203.278400647824,212.032804462019
1,1097HN,TH_75_91,113.810586640589,74.234770329916,79.8925692317159,85.5922519127899,91.3292701422866,97.1033396557779,84.6071916818389,91.35138462269,98.1542135624137,105.011802167898,111.920461462132,95.543858542085,103.473156344682,111.473843282089,119.541623085109,127.676043514877,107.04842758489,116.219541002659,125.502357419603,134.884052633677,144.362882294979,119.09862281597,129.649290885489,140.357467290454,151.176926758507,162.093617582116
2,1097HP,TH_75_91,103.697707844968,76.5865115689053,82.2809216032075,88.0165930448915,93.7913405092051,99.5976443093714,87.1474169648845,93.9442141139663,100.797875180953,107.706790834047,114.656624329308,98.2961779431871,106.280297727909,114.335352105176,122.457647103123,130.647621865261,109.998654970854,119.24128255388,128.594290149266,138.051917227463,147.599982036359,122.274730916014,132.928016606915,143.711340440156,154.595383128578,165.578930569542
3,1097HR,MFH_75_91,51.4642145661838,26.3415215564559,29.420328396052,32.5283257388802,35.6614905959255,38.8197657682921,30.4631214680801,34.1507342898481,37.8763653111229,41.6411966424207,45.4364959189602,34.8491137430747,39.192435641692,43.590306220745,48.0380542370648,52.5340399889673,39.4807371435686,44.5412378658807,49.6769932689617,54.8687654574744,60.1100146909822,44.3989651453593,50.2286766203802,56.1456736106177,62.1301652980739,68.1725041356322
4,1097HS,MFH_75_91,40.1307739951592,18.9019902047164,21.5455334593573,24.2177361748005,26.9156721598529,29.6364152233217,22.1753161966706,25.3483156334351,28.5622079773762,31.8088048111218,35.0836799631193,25.6811391443398,29.4309670937606,33.2371057812658,37.0916864574287,40.9763896899904,29.4108034233549,33.7993525176408,38.2440894008013,42.7375141710391,47.2690531963121,33.3879644616795,38.4463408509077,43.57295405157,48.7595664666104,53.99966178791
5,1097HT,MFH_75_91,37.1733371639171,18.9291055735366,21.5631523025024,24.2251612068607,26.9123372949458,29.6226210992146,22.1940113424195,25.3547423780776,28.5567240582758,31.7895977516213,35.0514020604541,25.6874444561809,29.4225585378791,33.2143079770143,37.053130959993,40.9206393837515,29.4036800854002,33.7735514848651,38.2009163532432,42.675354765465,47.1871823205835,33.3643548980159,38.4020822007626,43.5064970239544,48.6725732860873,53.8909943482755
6,1097HW,MFH_75_91,49.5826502173306,26.2048406533093,29.2935096504213,32.4129337005109,35.5565831316419,38.7242641407659,30.2901492804292,33.9880605218614,37.7269387461255,41.5041154343252,45.3123602419651,34.6354372429224,38.9925471913639,43.4035940189486,47.8654768769034,52.3738873743845,39.2218758292471,44.2960123327346,49.4467457640933,54.6554412148299,59.9100381721675,44.0884492679716,49.9340411672326,55.865517632758,61.8659581676358,67.9237942206733
7,1097HZ,TH_75_91,88.0681211501733,61.5207828883687,66.642362721562,71.8052196636748,77.0071751547803,82.2407362690689,70.0921816837558,76.2006194562371,82.3671917702852,88.5870133703061,94.8514954488302,79.1360276060962,86.3142802392064,93.5647257271091,100.882904623651,108.266671377388,88.6410812666758,96.9528815408242,105.373477777387,113.895971203262,122.508478764301,98.6146936548238,108.186790846732,117.898249857,127.716227244304,137.62755262363
8,1097JE,MFH_75_91,51.7253998509775,26.1835416004672,29.3007929892616,32.450754689622,35.6245112023997,38.8227979303492,30.2577030832032,33.9883206654086,37.7612994610834,41.5752794788319,45.4214056635675,34.5950178639762,38.9892910991976,43.4409458973016,47.9434039295378,52.4941567673321,39.1732022319196,44.2861352165999,49.481826196203,54.7391499710512,60.0469445376904,44.0216823712293,49.9177286235081,55.9031011254497,61.9616109424419,68.0795574204255
9,1097JG,TH_75_91,80.9708064493009,59.4573163191248,64.461284735001,69.5052017339623,74.5873861067442,79.7013005235612,67.7639933209136,73.7322639624711,79.7572984578458,85.8347904959731,91.9564261951228,76.5318651143924,83.545294930784,90.6312582803297,97.7831987647079,104.998796378696,85.749617701488,93.8713521499383,102.099616153282,110.429165864097,118.847384267679,95.4215287904607,104.776457248017,114.268138890152,123.862917750687,133.549988325842
