,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1097EZ,SFH_1964,148.973800270011,132.92307754466,138.6547251799,144.414085175431,150.19967470579,156.008561071732,148.446810252001,155.083937017341,161.746733139003,168.432200014386,175.14162275889,164.798486793647,172.380469943008,179.994515074013,187.643620789261,195.329467624276,181.953261605202,190.562183765793,199.225575048333,207.933846514839,216.680968008434,200.030156143702,209.755184553269,219.538405624278,229.37135077576,239.251944052069
1,1097HN,TH_75_91,121.867973305409,89.9614769312547,97.0927443452721,104.287444720388,111.530534653851,118.808382374217,100.429007346356,108.673903269813,116.971000479177,125.310026691701,133.701092676253,111.411951163403,120.803724843567,130.276320069114,139.833548567605,149.470274197665,122.891550160412,133.55062634596,144.333680585536,155.20236948411,166.145807006192,134.974371195184,146.983025056415,159.119727121443,171.371523977119,183.723976282599
2,1097HP,TH_75_91,112.859349994377,92.4418809239796,99.6273510760959,106.86815589343,114.148018651014,121.462082938288,103.113918042676,111.401795975149,119.741260353838,128.125879017948,136.564047358076,114.279451719791,123.726384361968,133.263599743017,142.882883296138,152.576562925925,125.966610388617,136.70485743235,147.547568967069,158.471806202468,169.477078331097,138.261388680827,150.347547974719,162.558837336448,174.882934915817,187.306873063352
3,1097HR,MFH_75_91,52.9928546028031,32.4277891461023,36.315178645118,40.2325403656105,44.1776054180405,48.1477426531944,36.5891804230076,41.0704088597556,45.5996843690999,50.1761299013026,54.7855791964674,40.9674508470492,46.1122055430927,51.3188875771492,56.5702800815384,61.8647052219792,45.6020295238337,51.4494917228972,57.3736385751282,63.35635709681,69.3851207297299,50.4869868344814,57.095480344133,63.793451993346,70.5611300304209,77.3868649468831
4,1097HS,MFH_75_91,38.7288255586471,23.7321605656512,27.0742766404835,30.4423472935028,33.8373438234663,37.2582826366957,27.0402197093714,30.9010707952336,34.8129458031592,38.7593695390361,42.7333338979062,30.5466082234057,34.9876566302724,39.4831715370767,44.0236858546645,48.5943227286511,34.2680349053647,39.3286243803692,44.4511802571083,49.6184896462115,54.8198559664268,38.2115078602066,43.9371296109715,49.7355372939327,55.5932064960133,61.4907112420662
5,1097HT,MFH_75_91,39.2700706349724,23.7379377693435,27.0669199480366,30.4217680583728,33.8037079738899,37.2109008842815,27.0346794739978,30.8809802855559,34.7770515627404,38.7056084886711,42.662115331259,30.5285416434973,34.9508804303713,39.4277705896683,43.9480566721962,48.4980088943338,34.2342347602933,39.2734331112851,44.3739251391567,49.5206325993956,54.7003160577958,38.1609528759176,43.8645746842859,49.6408907934336,55.4745777841408,61.3465120292209
6,1097HW,MFH_75_91,50.591966252289,32.2204127338838,36.118179641926,40.0501453340354,44.0088111230341,47.9912401473437,36.344407431036,40.8405785206187,45.3853196356985,49.9765734823779,54.6002818856894,40.6853273709784,45.8460342053628,51.068191513995,56.3354154853278,61.6454699303418,45.2753736755874,51.1382289540767,57.0773830019014,63.0766309026356,69.1240314069168,50.105914655249,56.7321154173355,63.4481364383602,70.2349701116599,77.0797956201911
7,1097HZ,TH_75_91,90.052961944042,74.4558339166549,80.9123758578328,87.4266991498013,93.9849567336307,100.577213055715,83.1034460001543,90.5624720968238,98.0706148173016,105.626124711949,113.234481189069,92.1730880525392,100.673597828242,109.259566568353,117.928089526303,126.669000089099,101.65903310188,111.315136884913,121.083007393896,130.933234069815,140.860931657078,111.643175196342,122.519833682709,133.520868135815,144.633999399711,155.842954291909
8,1097JE,MFH_75_91,50.7146736469929,32.2105096910925,36.1465262700699,40.1156460470164,44.1157232577302,48.1400889073677,36.3290874854067,40.8700685331736,45.4558587789218,50.0932178835879,54.7661483187558,40.663903911616,45.8712505211796,51.1444408623094,56.4665405236279,61.8296414070202,45.2452817408364,51.1627755611237,57.1572146723692,63.2155230091546,69.32188437525,50.0654136150563,56.7499224344227,63.5270114087911,70.375928076866,77.2860947277932
9,1097JG,TH_75_91,85.6421991290682,71.9947675577791,78.3050800652493,84.6710059581932,91.0789557265654,97.5197987196734,80.3781000746044,87.6657513302552,95.0012264743914,102.383419531921,109.818400653495,89.1681930687938,97.4732714916413,105.863141338252,114.335164794469,122.87821854758,98.366092131742,107.803174198905,117.348279522954,126.974426125337,136.677514270799,108.049412561468,118.678532380701,129.429945077986,140.291319666658,151.247496660534
