"archetype","yearRange","caseID","c_WWR","c_WRR","c_SW","c_GSW","c_Ninf","c_WOR","c_Gwindow","c_Tmax","p_Tmin","p_Uroof","p_Uwall","p_Ufloor","p_Uwindow"
"MFH_1964","1964",10,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","20","0.805","0.905","1.0775","2.2625"
"MFH_1964","1964",11,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","15","1.44","1.59","1.865","2.725"
"MFH_1964","1964",12,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","16.25","1.44","1.59","1.865","2.725"
"MFH_1964","1964",13,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","17.5","1.44","1.59","1.865","2.725"
"MFH_1964","1964",14,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","18.75","1.44","1.59","1.865","2.725"
"MFH_1964","1964",15,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","20","1.44","1.59","1.865","2.725"
"MFH_1964","1964",16,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","15","2.075","2.275","2.6525","3.1875"
"MFH_1964","1964",17,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","16.25","2.075","2.275","2.6525","3.1875"
"MFH_1964","1964",18,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","17.5","2.075","2.275","2.6525","3.1875"
"MFH_1964","1964",19,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","18.75","2.075","2.275","2.6525","3.1875"
"MFH_1964","1964",20,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","20","2.075","2.275","2.6525","3.1875"
"MFH_1964","1964",21,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","15","2.71","2.96","3.44","3.65"
"MFH_1964","1964",22,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","16.25","2.71","2.96","3.44","3.65"
"MFH_1964","1964",23,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","17.5","2.71","2.96","3.44","3.65"
"MFH_1964","1964",24,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","18.75","2.71","2.96","3.44","3.65"
"MFH_1964","1964",25,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","20","2.71","2.96","3.44","3.65"
"MFH_65_74","65_74",1,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","15","0.17","0.22","0.29","1.8"
"MFH_65_74","65_74",2,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","16.25","0.17","0.22","0.29","1.8"
"MFH_65_74","65_74",3,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","17.5","0.17","0.22","0.29","1.8"
"MFH_65_74","65_74",4,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","18.75","0.17","0.22","0.29","1.8"
"MFH_65_74","65_74",5,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","20","0.17","0.22","0.29","1.8"
"MFH_65_74","65_74",6,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","15","0.4925","0.8225","1.0125","2.2375"
"MFH_65_74","65_74",7,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","16.25","0.4925","0.8225","1.0125","2.2375"
"MFH_65_74","65_74",8,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","17.5","0.4925","0.8225","1.0125","2.2375"
"MFH_65_74","65_74",9,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","18.75","0.4925","0.8225","1.0125","2.2375"
"MFH_65_74","65_74",10,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","20","0.4925","0.8225","1.0125","2.2375"
"MFH_65_74","65_74",11,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","15","0.815","1.425","1.735","2.675"
"MFH_65_74","65_74",12,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","16.25","0.815","1.425","1.735","2.675"
"MFH_65_74","65_74",13,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","17.5","0.815","1.425","1.735","2.675"
"MFH_65_74","65_74",14,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","18.75","0.815","1.425","1.735","2.675"
"MFH_65_74","65_74",15,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","20","0.815","1.425","1.735","2.675"
"MFH_65_74","65_74",16,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","15","1.1375","2.0275","2.4575","3.1125"
"MFH_65_74","65_74",17,"0.35","0.1","0.2","0.2","0.4","0.25","0.65","26","16.25","1.1375","2.0275","2.4575","3.1125"
